cd_cvm;cnpj;empresa;ano;roe;roa;endividamento;liquidez_corrente;margem_operacional;caixa;crescimento_receita;crescimento_ativos;receita;ativo_total;lucro_liquido;patrimonio_liquido
020990;00.776.574/0001-56;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2021;3.41773502769;1.2214948593;64.2601064916;1.6430327572;3.33174405677;2706888000;124.171109505;96.9268593154;22695861000;44518812000;543795000;15910976000
020990;00.776.574/0001-56;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022;48.4183504164;-41.2611233577;185.217945268;0.341390223988;-30.2621389686;2477168000;13.7163555945;-29.7100290996;25808906000;31292260000;-12911538000;-26666621000
020990;00.776.574/0001-56;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023;7.87521663778;-8.37912594505;206.398672322;0.21769660071;-27.9614509436;1758000000;-42.1052562243;-13.3491796374;14942000000;27115000000;-2272000000;-28850000000
020990;00.776.574/0001-56;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024;166.61971831;47.4148296593;71.5430861723;1.61524418074;4.52993239947;1129000000;-3.96867889171;-35.589157293;14349000000;17465000000;8281000000;4970000000
020990;00.776.574/0001-56;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2025;-5.69447362891;-1.66779494123;70.7120438181;1.66616638079;2.6899634295;879000000;-14.2448951146;-6.96249642141;12305000000;16249000000;-271000000;4759000000
015253;00.864.214/0001-06;ENERGISA S.A.;2020;21.3883022257;3.52803987691;83.5048156713;1.09618216521;13.2927611956;1062102000;;;20330208000;45562807000;1607474000;7515669000
015253;00.864.214/0001-06;ENERGISA S.A.;2021;30.9811062829;5.18781930775;83.2548932876;1.27330591603;17.4749610055;773505000;30.2274133152;19.0839712751;26475504000;54258000000;2814807000;9085560000
015253;00.864.214/0001-06;ENERGISA S.A.;2022;19.4494411616;4.06903438721;79.078913613;1.11337539547;21.5889839757;916207000;0.104371950766;9.97579711748;26503137000;59670668000;2428020000;12483752000
015253;00.864.214/0001-06;ENERGISA S.A.;2023;16.439195566;3.79549292359;76.9119303414;1.1209485343;21.1949603843;1298424000;7.65464480676;14.0735863725;28531858000;68068471000;2583534000;15715696000
015253;00.864.214/0001-06;ENERGISA S.A.;2024;20.9377027426;6.00697422223;71.3102516734;1.22947766834;18.1249761979;899139000;18.1678248924;13.3882572447;33715476000;77181653000;4636282000;22143222000
015253;00.864.214/0001-06;ENERGISA S.A.;2025;14.8224667947;3.76184262903;74.6206708968;1.55641116927;19.0538634346;1386005000;5.11894597009;8.14959741793;35441353000;83471647000;3140072000;21184544000
015199;00.897.864/0001-58;SANTA CATARINA PART INVEST SA;2020;9.90420642083;-39563.545318;399562.043065;0.000230097909418;;1836000;;;0;1997000;-790084000;-7977257000
